                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.57004,                0.89305,                0.40593,                 1.2015,                0.96652,                0.97967,                0.98845,                0.89974,                0.96704,                 0.9802,                0.98849,                0.90972,                      0,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.56797,                0.90184,                0.40291,                 1.2015,                0.96892,                0.97532,                0.98793,                0.90093,                0.96945,                0.97585,                0.98801,                0.90817,                      0,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                 0.5583,                 0.9045,                0.40207,                 1.1932,                0.96211,                0.98287,                0.98826,                0.90186,                0.96263,                 0.9834,                0.98833,                0.90914,                      0,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.55404,                 0.8802,                0.39404,                 1.1928,                0.96606,                0.98303,                0.98871,                 0.9037,                0.96658,                0.98356,                0.98879,                0.91018,                      0,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.54959,                0.87356,                0.39207,                 1.1919,                0.97186,                0.97055,                0.98855,                0.90909,                0.97239,                0.97108,                0.98858,                0.91736,                      0,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.55361,                0.89127,                0.39172,                 1.1936,                0.96494,                0.98462,                0.98853,                0.90934,                0.96514,                0.98462,                0.98855,                0.91523,                      0,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                 0.5435,                0.89376,                0.38716,                 1.1783,                0.96837,                0.97561,                0.98815,                0.90511,                 0.9689,                0.97614,                0.98818,                0.91516,                      0,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.53962,                0.85512,                0.38517,                 1.1763,                0.96525,                0.98303,                0.98829,                0.90573,                0.96636,                0.98303,                 0.9883,                0.91323,                      0,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                 0.5418,                 0.8721,                0.38623,                   1.18,                0.96758,                0.98121,                0.98789,                 0.9083,                0.96811,                0.98174,                 0.9879,                0.91664,                      0,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.53798,                0.86521,                0.38063,                 1.1746,                0.96575,                0.98356,                0.98896,                0.91298,                0.96627,                0.98409,                0.98899,                0.91942,                      0,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
